Time,Day-ahead Price [EUR/MWh],Currency
01/01/2015 00:00,22.34,EUR
01/01/2015 01:00,17.93,EUR
01/01/2015 02:00,15.17,EUR
01/01/2015 03:00,16.38,EUR
01/01/2015 04:00,17.38,EUR
01/01/2015 05:00,16.38,EUR
01/01/2015 06:00,26.61,EUR
01/01/2015 07:00,37.63,EUR
01/01/2015 08:00,39.09,EUR
01/01/2015 09:00,41.51,EUR
01/01/2015 10:00,40.46,EUR
01/01/2015 11:00,40.97,EUR
01/01/2015 12:00,40.72,EUR
01/01/2015 13:00,41.92,EUR
01/01/2015 14:00,42,EUR
01/01/2015 15:00,43.1,EUR
01/01/2015 16:00,46.7,EUR
01/01/2015 17:00,56.78,EUR
01/01/2015 18:00,58.84,EUR
01/01/2015 19:00,49.23,EUR
01/01/2015 20:00,44.32,EUR
01/01/2015 21:00,40,EUR
01/01/2015 22:00,35.08,EUR
01/01/2015 23:00,30.03,EUR
02/01/2015 00:00,30.02,EUR
02/01/2015 01:00,30.57,EUR
02/01/2015 02:00,30.25,EUR
02/01/2015 03:00,30.29,EUR
02/01/2015 04:00,30.63,EUR
02/01/2015 05:00,29.64,EUR
02/01/2015 06:00,29.67,EUR
02/01/2015 07:00,38.82,EUR
02/01/2015 08:00,40.76,EUR
02/01/2015 09:00,40.02,EUR
02/01/2015 10:00,33.99,EUR
02/01/2015 11:00,31.22,EUR
02/01/2015 12:00,30.06,EUR
02/01/2015 13:00,29.99,EUR
02/01/2015 14:00,30.73,EUR
02/01/2015 15:00,37.38,EUR
02/01/2015 16:00,40.32,EUR
02/01/2015 17:00,45.96,EUR
02/01/2015 18:00,45.71,EUR
02/01/2015 19:00,39.57,EUR
02/01/2015 20:00,32.92,EUR
02/01/2015 21:00,29.15,EUR
02/01/2015 22:00,28.46,EUR
02/01/2015 23:00,26.97,EUR
03/01/2015 00:00,24.97,EUR
03/01/2015 01:00,24.65,EUR
03/01/2015 02:00,24.68,EUR
03/01/2015 03:00,25.06,EUR
03/01/2015 04:00,26.1,EUR
03/01/2015 05:00,26.95,EUR
03/01/2015 06:00,31.43,EUR
03/01/2015 07:00,45.98,EUR
03/01/2015 08:00,47.91,EUR
03/01/2015 09:00,48.91,EUR
03/01/2015 10:00,50,EUR
03/01/2015 11:00,51.22,EUR
03/01/2015 12:00,50.15,EUR
03/01/2015 13:00,51.46,EUR
03/01/2015 14:00,50.88,EUR
03/01/2015 15:00,48,EUR
03/01/2015 16:00,47.14,EUR
03/01/2015 17:00,51.07,EUR
03/01/2015 18:00,47.42,EUR
03/01/2015 19:00,44.83,EUR
03/01/2015 20:00,33.86,EUR
03/01/2015 21:00,27.42,EUR
03/01/2015 22:00,27.02,EUR
03/01/2015 23:00,22.11,EUR
04/01/2015 00:00,21.92,EUR
04/01/2015 01:00,19.35,EUR
04/01/2015 02:00,16.11,EUR
04/01/2015 03:00,14.93,EUR
04/01/2015 04:00,15,EUR
04/01/2015 05:00,19.04,EUR
04/01/2015 06:00,26.17,EUR
04/01/2015 07:00,38.34,EUR
04/01/2015 08:00,37.7,EUR
04/01/2015 09:00,32.99,EUR
04/01/2015 10:00,31.95,EUR
04/01/2015 11:00,33.59,EUR
04/01/2015 12:00,34.37,EUR
04/01/2015 13:00,35.08,EUR
04/01/2015 14:00,34.45,EUR
04/01/2015 15:00,38.12,EUR
04/01/2015 16:00,32.47,EUR
04/01/2015 17:00,36.49,EUR
04/01/2015 18:00,31.82,EUR
04/01/2015 19:00,32.93,EUR
04/01/2015 20:00,29.44,EUR
04/01/2015 21:00,28.62,EUR
04/01/2015 22:00,26.71,EUR
04/01/2015 23:00,15.93,EUR
05/01/2015 00:00,22.34,EUR
05/01/2015 01:00,17.93,EUR
05/01/2015 02:00,15.17,EUR
05/01/2015 03:00,16.38,EUR
05/01/2015 04:00,17.38,EUR
05/01/2015 05:00,16.38,EUR
05/01/2015 06:00,26.61,EUR
05/01/2015 07:00,37.63,EUR
05/01/2015 08:00,39.09,EUR
05/01/2015 09:00,41.51,EUR
05/01/2015 10:00,40.46,EUR
05/01/2015 11:00,40.97,EUR
05/01/2015 12:00,40.72,EUR
05/01/2015 13:00,41.92,EUR
05/01/2015 14:00,42,EUR
05/01/2015 15:00,43.1,EUR
05/01/2015 16:00,46.7,EUR
05/01/2015 17:00,56.78,EUR
05/01/2015 18:00,58.84,EUR
05/01/2015 19:00,49.23,EUR
05/01/2015 20:00,44.32,EUR
05/01/2015 21:00,40,EUR
05/01/2015 22:00,35.08,EUR
05/01/2015 23:00,30.03,EUR
06/01/2015 00:00,30.02,EUR
06/01/2015 01:00,30.57,EUR
06/01/2015 02:00,30.25,EUR
06/01/2015 03:00,30.29,EUR
06/01/2015 04:00,30.63,EUR
06/01/2015 05:00,29.64,EUR
06/01/2015 06:00,29.67,EUR
06/01/2015 07:00,38.82,EUR
06/01/2015 08:00,40.76,EUR
06/01/2015 09:00,40.02,EUR
06/01/2015 10:00,33.99,EUR
06/01/2015 11:00,31.22,EUR
06/01/2015 12:00,30.06,EUR
06/01/2015 13:00,29.99,EUR
06/01/2015 14:00,30.73,EUR
06/01/2015 15:00,37.38,EUR
