Time,Day-ahead Price [EUR/MWh],Currency
2015-01-01 00:00:00,22.34,EUR
2015-01-01 01:00:00,17.93,EUR
2015-01-01 02:00:00,15.17,EUR
2015-01-01 03:00:00,16.38,EUR
2015-01-01 04:00:00,17.38,EUR
2015-01-01 05:00:00,16.38,EUR
2015-01-01 06:00:00,26.61,EUR
2015-01-01 07:00:00,37.63,EUR
2015-01-01 08:00:00,39.09,EUR
2015-01-01 09:00:00,41.51,EUR
2015-01-01 10:00:00,40.46,EUR
2015-01-01 11:00:00,40.97,EUR
2015-01-01 12:00:00,40.72,EUR
2015-01-01 13:00:00,41.92,EUR
2015-01-01 14:00:00,42.0,EUR
2015-01-01 15:00:00,43.1,EUR
2015-01-01 16:00:00,46.7,EUR
2015-01-01 17:00:00,56.78,EUR
2015-01-01 18:00:00,58.84,EUR
2015-01-01 19:00:00,49.23,EUR
2015-01-01 20:00:00,44.32,EUR
2015-01-01 21:00:00,40.0,EUR
2015-01-01 22:00:00,35.08,EUR
2015-01-01 23:00:00,30.03,EUR
2015-01-02 00:00:00,30.02,EUR
2015-01-02 01:00:00,30.57,EUR
2015-01-02 02:00:00,30.25,EUR
2015-01-02 03:00:00,30.29,EUR
2015-01-02 04:00:00,30.63,EUR
2015-01-02 05:00:00,29.64,EUR
2015-01-02 06:00:00,29.67,EUR
2015-01-02 07:00:00,38.82,EUR
2015-01-02 08:00:00,40.76,EUR
2015-01-02 09:00:00,40.02,EUR
2015-01-02 10:00:00,33.99,EUR
2015-01-02 11:00:00,31.22,EUR
2015-01-02 12:00:00,30.06,EUR
2015-01-02 13:00:00,29.99,EUR
2015-01-02 14:00:00,30.73,EUR
2015-01-02 15:00:00,37.38,EUR
2015-01-02 16:00:00,40.32,EUR
2015-01-02 17:00:00,45.96,EUR
2015-01-02 18:00:00,45.71,EUR
2015-01-02 19:00:00,39.57,EUR
2015-01-02 20:00:00,32.92,EUR
2015-01-02 21:00:00,29.15,EUR
2015-01-02 22:00:00,28.46,EUR
2015-01-02 23:00:00,26.97,EUR
2015-01-03 00:00:00,24.97,EUR
2015-01-03 01:00:00,24.65,EUR
2015-01-03 02:00:00,24.68,EUR
2015-01-03 03:00:00,25.06,EUR
2015-01-03 04:00:00,26.1,EUR
2015-01-03 05:00:00,26.95,EUR
2015-01-03 06:00:00,31.43,EUR
2015-01-03 07:00:00,45.98,EUR
2015-01-03 08:00:00,47.91,EUR
2015-01-03 09:00:00,48.91,EUR
2015-01-03 10:00:00,50.0,EUR
2015-01-03 11:00:00,51.22,EUR
2015-01-03 12:00:00,50.15,EUR
2015-01-03 13:00:00,51.46,EUR
2015-01-03 14:00:00,50.88,EUR
2015-01-03 15:00:00,48.0,EUR
2015-01-03 16:00:00,47.14,EUR
2015-01-03 17:00:00,51.07,EUR
2015-01-03 18:00:00,47.42,EUR
2015-01-03 19:00:00,44.83,EUR
2015-01-03 20:00:00,33.86,EUR
2015-01-03 21:00:00,27.42,EUR
2015-01-03 22:00:00,27.02,EUR
2015-01-03 23:00:00,22.11,EUR
2015-01-04 00:00:00,21.92,EUR
2015-01-04 01:00:00,19.35,EUR
2015-01-04 02:00:00,16.11,EUR
2015-01-04 03:00:00,14.93,EUR
2015-01-04 04:00:00,15.0,EUR
2015-01-04 05:00:00,19.04,EUR
2015-01-04 06:00:00,26.17,EUR
2015-01-04 07:00:00,38.34,EUR
2015-01-04 08:00:00,37.7,EUR
2015-01-04 09:00:00,32.99,EUR
2015-01-04 10:00:00,31.95,EUR
2015-01-04 11:00:00,33.59,EUR
2015-01-04 12:00:00,34.37,EUR
2015-01-04 13:00:00,35.08,EUR
2015-01-04 14:00:00,34.45,EUR
2015-01-04 15:00:00,38.12,EUR
2015-01-04 16:00:00,32.47,EUR
2015-01-04 17:00:00,36.49,EUR
2015-01-04 18:00:00,31.82,EUR
2015-01-04 19:00:00,32.93,EUR
2015-01-04 20:00:00,29.44,EUR
2015-01-04 21:00:00,28.62,EUR
2015-01-04 22:00:00,26.71,EUR
2015-01-04 23:00:00,15.93,EUR
2015-01-05 00:00:00,22.34,EUR
2015-01-05 01:00:00,17.93,EUR
2015-01-05 02:00:00,15.17,EUR
2015-01-05 03:00:00,16.38,EUR
2015-01-05 04:00:00,17.38,EUR
2015-01-05 05:00:00,16.38,EUR
2015-01-05 06:00:00,26.61,EUR
2015-01-05 07:00:00,37.63,EUR
2015-01-05 08:00:00,39.09,EUR
2015-01-05 09:00:00,41.51,EUR
2015-01-05 10:00:00,40.46,EUR
2015-01-05 11:00:00,40.97,EUR
2015-01-05 12:00:00,40.72,EUR
2015-01-05 13:00:00,41.92,EUR
2015-01-05 14:00:00,42.0,EUR
2015-01-05 15:00:00,43.1,EUR
2015-01-05 16:00:00,46.7,EUR
2015-01-05 17:00:00,56.78,EUR
2015-01-05 18:00:00,58.84,EUR
2015-01-05 19:00:00,49.23,EUR
2015-01-05 20:00:00,44.32,EUR
2015-01-05 21:00:00,40.0,EUR
2015-01-05 22:00:00,35.08,EUR
2015-01-05 23:00:00,30.03,EUR
2015-01-06 00:00:00,30.02,EUR
2015-01-06 01:00:00,30.57,EUR
2015-01-06 02:00:00,30.25,EUR
2015-01-06 03:00:00,30.29,EUR
2015-01-06 04:00:00,30.63,EUR
2015-01-06 05:00:00,29.64,EUR
2015-01-06 06:00:00,29.67,EUR
2015-01-06 07:00:00,38.82,EUR
2015-01-06 08:00:00,40.76,EUR
2015-01-06 09:00:00,40.02,EUR
2015-01-06 10:00:00,33.99,EUR
2015-01-06 11:00:00,31.22,EUR
2015-01-06 12:00:00,30.06,EUR
2015-01-06 13:00:00,29.99,EUR
2015-01-06 14:00:00,30.73,EUR
2015-01-06 15:00:00,37.38,EUR
2015-01-06 16:00:00,40.32,EUR
2015-01-06 17:00:00,45.96,EUR
2015-01-06 18:00:00,45.71,EUR
2015-01-06 19:00:00,39.57,EUR
2015-01-06 20:00:00,32.92,EUR
2015-01-06 21:00:00,29.15,EUR
2015-01-06 22:00:00,28.46,EUR
2015-01-06 23:00:00,26.97,EUR
2015-01-07 00:00:00,24.97,EUR
2015-01-07 01:00:00,24.65,EUR
2015-01-07 02:00:00,24.68,EUR
2015-01-07 03:00:00,25.06,EUR
2015-01-07 04:00:00,26.1,EUR
2015-01-07 05:00:00,26.95,EUR
2015-01-07 06:00:00,31.43,EUR
2015-01-07 07:00:00,45.98,EUR
2015-01-07 08:00:00,47.91,EUR
2015-01-07 09:00:00,48.91,EUR
2015-01-07 10:00:00,50.0,EUR
2015-01-07 11:00:00,51.22,EUR
2015-01-07 12:00:00,50.15,EUR
2015-01-07 13:00:00,51.46,EUR
2015-01-07 14:00:00,50.88,EUR
2015-01-07 15:00:00,48.0,EUR
2015-01-07 16:00:00,47.14,EUR
2015-01-07 17:00:00,51.07,EUR
2015-01-07 18:00:00,47.42,EUR
2015-01-07 19:00:00,44.83,EUR
2015-01-07 20:00:00,33.86,EUR
2015-01-07 21:00:00,27.42,EUR
2015-01-07 22:00:00,27.02,EUR
2015-01-07 23:00:00,22.11,EUR
2015-01-08 00:00:00,21.92,EUR
2015-01-08 01:00:00,19.35,EUR
2015-01-08 02:00:00,16.11,EUR
2015-01-08 03:00:00,14.93,EUR
2015-01-08 04:00:00,15.0,EUR
2015-01-08 05:00:00,19.04,EUR
2015-01-08 06:00:00,26.17,EUR
